          value,num, footprint, part-number, unit cost, supplier
       0.033 uF, 16,     2.5mm, FK16C0G1H333J, 0.59, mouser
          0.1uF,  4,     2.5mm, C320C104J5R5TA, 0.19, mouser
          1.5nF,  1,     2.5mm, FK18C0G1H152J, 0.23, mouser
           10uF,  1,     2.5mm, FK11X7R1C106K, 0.68, mouser
            1uF,  6,     2.5mm, FK14X7R1E105K, 0.29, mouser
           22uF,  1,     2.5mm, TAP226K016SRW, 0.73, mouser
           47pF, 32,     2.5mm, K470J15C0GH53L2, 0.08, mouser
             1M,  1,     6.1mm, RN55C1004BRE6, 0.30, mouser
            10k, 48,    3.63mm, CCF5010K0FKE36, 0.04, mouser
          22.1k, 16,     3.5mm, SFR16S0002212FR500, 0.05, mouser
        ADS1298,  1,   TQFP-64, ADS1298IPAG, 40.00, mouser
         CONN_4,  1,      23mm, RS1-08-G, 0.40, mouser
         CONN_8,  4,      23mm, RS1-08-G, 0.40, mouser


            1uF,  2,     2.5mm, FK14X7R1E105K, 0.29, mouser
Quad Bus Buffer,  2,   PDIP-14, SN74LS126ANE4, 0.65, mouser
         CONN_8,  2,      23mm, RS1-08-G, 0.40, mouser

   Arduino 2560,  1,       big, A000047, 39.00, mouser
    6ft USB A-B,  1,       6ft, 88732-9200, 4.05, mouser
    jumper wire,  2,      15cm, MIKROE-513, 3.26, mouser


